wps_id,source_wps_no,required_process,required_material_from,required_material_to,required_thickness_min_mm,required_thickness_max_mm,required_position_policy,required_progression,required_pwht,required_filler,preferred_ticket_id,alternate_ticket_id,alternate_allowed,alternate_condition,engineering_review_required_if,mapping_status,special_note
WPS-001,NPCIL-STD-SM-11,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,1.5,19.0,All positions allowed by job; vertical uphill for all-position qualification when notch toughness applies,Vertical Uphill,False,E-7018|E7018-1,Q-SM11-SMAW-P1P1-ALL-FR,Q-SM11-SMAW-P1P1-LR-8MM,True,Allowed only when job_thickness_mm <= 8.0 and position is covered,job_thickness_mm > ticket.max_thickness_mm OR process_mismatch OR material_group_mismatch OR position_coverage_gap OR PWHT_required_but_not_capable,active,Use PQR A; user must verify drawing/spec suitability and obtain WPS acceptance approval.
WPS-001,NPCIL-STD-SM-11,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,1.5,19.0,All positions,Vertical Uphill,False,E-7018|E7018-1,Q-SM11-SMAW-P1P1-ALL-FR,Q-SM11-SMAW-P1P1-3G-ONLY,True,Allowed only for 3G jobs; not acceptable for 5G/6G/4G,position_coverage_gap,active,Position nuance case.
WPS-002,NPCIL-SM-11H,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,19.0,38.0,All,Vertical Uphill,True,E-7018 or E7018-1,Q-SM11-SMAW-P1P1-ALL-PWHT,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-003,NPCIL-STD-GT-11,GTAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,1.5,19.0,All,Vertical Uphill,False,ER70S-2 or ER70S-6,Q-GT11-GTAW-P1P1-ALL,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-004,NPCIL-STD-SM-88,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,1.5,200.0,All,Vertical Uphill,False,E308L-16,Q-SM88-SMAW-P8P8-ALL,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-005,NPCIL-STD-GT-88,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,1.5,19.0,All,Vertical Uphill,False,ER308L,Q-SYN-012,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-006,NPCIL-STD-SM-18,SMAW,P-No. 1 Group 1/2,P-No. 8 Group 1,1.5,19.0,All,Vertical Uphill,False,E309L-16,Q-SYN-013,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-007,NPCIL-STD-GT-18,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,1.5,19.0,All,Vertical Uphill,False,ER309L,Q-SYN-014,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-008,NPCIL-STD-GTSM-11,GTAW+SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,1.5,19.0,All,Vertical Uphill,False,ER70S-2 + E7018,Q-GTSM11-DUAL-P1P1-ALL,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-009,NPCIL-GTSM-11H,GTAW+SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,19.0,38.0,All,Vertical Uphill,True,ER70S-2 + E7018,Q-SM11-SMAW-P1P1-ALL-PWHT,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,draft,Synthetic support mapping.
WPS-010,NPCIL-GT-1-43,GTAW,P-No. 1 Group 1/2,P-No. 43,1.5,19.0,All,Vertical Uphill,False,ERNiCr-3,Q-SYN-015,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-011,NPCIL-GTSM-5A5A,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,1.5,19.0,All,Vertical Uphill,False,ER90S-B3 + E9018-B3,Q-SYN-016,,False,,missing_pqr OR deprecated_mapping OR key_constraint_failure,active,Synthetic support mapping.
WPS-012,NPCIL-GT-88-ATT,GTAW,P-No. 8 Tube,P-No. 8 Tube,1.2,1.5,Tube-to-tube,Auto,False,Autogenous,,,False,,mapping_missing,missing,Intentional missing mapping scenario.
