job_id,work_order,wps_id,job_description,base_material_from,base_material_to,thickness_mm,required_position,required_progression,backing_required,application_type,shift,priority,due_date,location,inspection_required,qc_hold_point,requires_notch_toughness,status
JOB-001,WO-260401,WPS-001,Carbon steel pressure retaining groove weld - vertical uphill all-position demo,P-No. 1 Group 1/2,P-No. 1 Group 1/2,12.0,3G,Vertical Uphill,As per design document,Production,A,High,2026-05-10,Bay 1,True,Visual + dimensional before release,False,Needs assignment
JOB-002,WO-260402,WPS-001,Thin carbon steel support weld using SM-11 limited range candidate,P-No. 1 Group 1/2,P-No. 1 Group 1/2,6.0,3G,Vertical Uphill,As per design document,Maintenance,A,Medium,2026-05-11,Bay 2,True,Visual + dimensional before release,False,Needs assignment
JOB-003,WO-260403,WPS-001,Carbon steel pipe position case requiring 6G coverage,P-No. 1 Group 1/2,P-No. 1 Group 1/2,10.0,6G,Vertical Uphill,As per design document,Production,A,High,2026-05-07,Bay 1,True,Visual + dimensional before release,False,Needs assignment
JOB-004,WO-260404,WPS-001,Out-of-range carbon steel weld that should route to engineering,P-No. 1 Group 1/2,P-No. 1 Group 1/2,22.0,3G,Vertical Uphill,As per design document,Production,A,High,2026-05-04,Bay 3,True,Visual + dimensional before release,False,Needs assignment
JOB-005,WO-260405,WPS-001,Material mismatch intentionally assigned to SM-11,P-No. 8 Group 1,P-No. 8 Group 1,10.0,3G,Vertical Uphill,As per design document,Production,A,Medium,2026-05-03,Bay 1,True,Visual + dimensional before release,False,Needs review
JOB-006,WO-260406,WPS-003,GTAW carbon steel root weld requiring argon shielding/backing,P-No. 1 Group 1/2,P-No. 1 Group 1/2,9.5,3G,Vertical Uphill,As per design document,Production,A,High,2026-05-03,Bay 2,True,Visual + dimensional before release,False,Needs assignment
JOB-007,WO-260407,WPS-004,"Stainless SMAW groove weld, P8 to P8",P-No. 8 Group 1,P-No. 8 Group 1,18.0,3G,Vertical Uphill,As per design document,Maintenance,B,Medium,2026-05-03,Bay 3,True,Visual + dimensional before release,False,Needs assignment
JOB-008,WO-260408,WPS-012,Auto tube weld missing mapping demo,P-No. 8 Tube,P-No. 8 Tube,1.2,Tube,Auto,As per design document,Maintenance,A,Low,2026-05-07,Module Shop,True,Visual + dimensional before release,False,Needs assignment
JOB-009,WO-260409,WPS-004,Stainless steel / P8 to P8 SMAW weld package,P-No. 8 Group 1,P-No. 8 Group 1,23.5,1G,Vertical Uphill,With,Maintenance,B,Low,2026-05-16,QA Hold Area,True,Visual before release,False,Needs assignment
JOB-010,WO-260410,WPS-001,Carbon steel / P1 to P1 SMAW weld package,P-No. 1 Group 1/2,P-No. 1 Group 1/2,2.0,6G,Vertical Uphill,With,Pressure-retaining,A,Critical,2026-05-09,Bay 3,True,Visual before release,True,Needs assignment
