wps_id,source_wps_no,source_pages,wps_title,company_name,prepared_by,wps_date,revision,supporting_pqr_no,supporting_pqr_date,qualification_status,document_acceptance_required,user_approval_required,welding_process_root,welding_process_fill,welding_type,joint_design,backing_allowed,backing_material,base_material_from,base_material_to,material_family,material_examples,groove_thickness_min_mm,groove_thickness_max_rule,groove_thickness_max_mm,fillet_thickness_range,positions_groove,positions_fillet,weld_progression,pwht_required,pwht_temperature_range_c,pwht_time_range,preheat_min_c,interpass_max_c,shielding_gas,shielding_flow_lpm,backing_gas,backing_gas_flow_lpm,filler_specification,aws_classification,f_no,a_no,filler_sizes_mm,polarity,travel_speed_range_mm_min,root_bead_technique,subsequent_bead_technique,cleaning_method,back_gouging_method,peening_allowed,minimum_passes_pressure_weld,notch_toughness_note,source_document_type,extraction_confidence,extraction_review_required,notes
WPS-001,NPCIL-STD-SM-11,WPS-15-17.pdf pages 1-3,NPCIL-STD-SM-11 (Qualified) - Without PWHT and without impact test requirement,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,A,2014-07-07,Qualified,True,True,SMAW,SMAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Carbon steel / P1 to P1,IS 2062 or IS1239 or equivalent or P1,1.5,"2T, limited to 19 mm",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,10.0,,NA,NA,NA,NA,SFA 5.1,E-7018 or E7018-1,2 or 4,1,2.5|3.15|4.0,DC-EP,40-80,Stringer,Weave,"Brushing or Grinding, joint dry prior to welding",Grinding,False,2,"If notch toughness is called for, use vertical uphill coupon positions such as 3G, 5G, or 6G for all-position qualification; heat input increases against PQR can require requalification.",native_pdf,0.96,False,Anchor WPS from provided pages 15-17. Qualified WPS with PQR A; user must check drawing/spec suitability and obtain document acceptance approval.
WPS-002,NPCIL-SM-11H,Reference PDF / synthetic variant,NPCIL-SM-11H synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,To be made by user organization,,To be qualified,True,True,SMAW,SMAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Carbon steel / P1 to P1,Synthetic but code-style material family,19.0,5 mm to 2T,38.0,All Thickness,All,All,Vertical Uphill,True,595-675,As applicable,121.0,,NA,NA,NA,NA,5.1,E-7018 or E7018-1,varies,varies,2.5|3.15|4.0|5.0,DC-EP,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",scanned_pdf,0.9,True,Synthetic WPS record used for contrast and edge cases.
WPS-003,NPCIL-STD-GT-11,Reference PDF / synthetic variant,NPCIL-STD-GT-11 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,C,2014-07-07,Qualified,True,True,GTAW,GTAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Carbon steel / P1 to P1,Synthetic but code-style material family,1.5,"2T, limited to 19 mm",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,10.0,,99.95% Argon,6-10,99.95% Argon,5-25,5.18,ER70S-2 or ER70S-6,varies,varies,1.6|2.4|3.2,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",native_pdf,0.84,False,Synthetic WPS record used for contrast and edge cases.
WPS-004,NPCIL-STD-SM-88,Reference PDF / synthetic variant,NPCIL-STD-SM-88 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,D,2014-07-07,Qualified,True,True,SMAW,SMAW,Manual,Groove,With or Without,As per design document,P-No. 8 Group 1,P-No. 8 Group 1,Stainless steel / P8 to P8,Synthetic but code-style material family,1.5,1.5-200 mm depending on coupon,200.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,,150.0,NA,NA,NA,NA,5.4,E308L-16,varies,varies,2.5|3.15|4.0|5.0,DC-EP,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",native_pdf,0.91,False,Synthetic WPS record used for contrast and edge cases.
WPS-005,NPCIL-STD-GT-88,Reference PDF / synthetic variant,NPCIL-STD-GT-88 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,E,2014-07-07,Qualified,True,True,GTAW,GTAW,Manual,Groove,With or Without,As per design document,P-No. 8 Group 1,P-No. 8 Group 1,Stainless steel / P8 to P8,Synthetic but code-style material family,1.5,2T,19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,,150.0,99.95% Argon,6-10,99.95% Argon,5-25,5.9,ER308L,varies,varies,1.6|2.4|3.2,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",native_pdf,0.88,False,Synthetic WPS record used for contrast and edge cases.
WPS-006,NPCIL-STD-SM-18,Reference PDF / synthetic variant,NPCIL-STD-SM-18 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,F,2014-07-07,Qualified,True,True,SMAW,SMAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 8 Group 1,Dissimilar P1 to P8,Synthetic but code-style material family,1.5,"2T, limited to 19 mm",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,10.0,,NA,NA,NA,NA,5.4,E309L-16,varies,varies,2.5|3.15|4.0,DC-EP,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",native_pdf,0.88,False,Synthetic WPS record used for contrast and edge cases.
WPS-007,NPCIL-STD-GT-18,Reference PDF / synthetic variant,NPCIL-STD-GT-18 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,H,2014-07-07,Qualified,True,True,GTAW,GTAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 8 Group 1,Dissimilar P1 to P8,Synthetic but code-style material family,1.5,"2T, limited to 19 mm",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,10.0,,99.95% Argon,6-10,99.95% Argon,5-25,5.9,ER309L,varies,varies,1.6|2.4|3.2,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",controlled_form,0.91,False,Synthetic WPS record used for contrast and edge cases.
WPS-008,NPCIL-STD-GTSM-11,Reference PDF / synthetic variant,NPCIL-STD-GTSM-11 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,C+A,2014-07-07,Qualified,True,True,GTAW,GTAW+SMAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Carbon steel / P1 to P1,Synthetic but code-style material family,1.5,"2T, limited to 19 mm",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,10.0,,99.95% Argon,6-10,99.95% Argon,5-25,5.18+5.1,ER70S-2 + E7018,varies,varies,2.4|3.15|4.0,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",native_pdf,0.84,False,Synthetic WPS record used for contrast and edge cases.
WPS-009,NPCIL-GTSM-11H,Reference PDF / synthetic variant,NPCIL-GTSM-11H synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,To be made by user organization,,To be qualified,True,True,GTAW,GTAW+SMAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Carbon steel / P1 to P1,Synthetic but code-style material family,19.0,2T,38.0,All Thickness,All,All,Vertical Uphill,True,595-675,As applicable,121.0,,99.95% Argon,6-10,99.95% Argon,5-25,5.18+5.1,ER70S-2 + E7018,varies,varies,2.4|3.15|4.0|5.0,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",scanned_pdf,0.87,True,Synthetic WPS record used for contrast and edge cases.
WPS-010,NPCIL-GT-1-43,Reference PDF / synthetic variant,NPCIL-GT-1-43 synthetic demo extract,NPCIL,"QA Directorate & DTD, R&D Center",2014-07-07,R-1,L,2014-07-07,Qualified up to 4.5 mm only,True,True,GTAW,GTAW,Manual,Groove,With or Without,As per design document,P-No. 1 Group 1/2,P-No. 43,Carbon steel to nickel alloy,Synthetic but code-style material family,1.5,"2T, max 19",19.0,All Thickness,All,All,Vertical Uphill,False,NA,NA,,,99.95% Argon,6-10,99.95% Argon,5-25,5.14,ERNiCr-3,varies,varies,1.6|2.4|3.2,DC-EN,40-80,Stringer,Weave,Brushing or Grinding,Grinding,False,2,"If notch toughness is called for, additional limits may apply.",image,0.9,True,Synthetic WPS record used for contrast and edge cases.
