ticket_id,process,base_material_from,base_material_to,position_coverage_label,position_coverage,min_thickness_mm,max_thickness_mm,backing_coverage,weld_progression_coverage,allowed_filler_class,pwht_capable,pwht_temperature_range_c,application_type_coverage,full_or_limited_range,requires_special_endorsement,active_status,notes
Q-SM11-SMAW-P1P1-ALL-FR,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,E-7018|E7018-1,False,NA,Production|Maintenance|Pressure-retaining,Full range,False,Active,Preferred ticket for NPCIL-STD-SM-11
Q-SM11-SMAW-P1P1-LR-8MM,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|5G|6G,1.5,8.0,With|Without,Vertical Uphill,E-7018|E7018-1,False,NA,Production|Maintenance,Limited range,False,Active,Limited ticket; fails common 12 mm job
Q-SM11-SMAW-P1P1-3G-ONLY,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,3G,3G,1.5,19.0,With|Without,Vertical Uphill,E-7018|E7018-1,False,NA,Production|Maintenance,Limited position,False,Active,Useful for position mismatch demo
Q-SM11-SMAW-P1P1-FLAT,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,Flat only,1G|1F,1.5,19.0,With|Without,Any,E-7018|E7018-1,False,NA,Maintenance,Limited position,False,Active,Flat-only qualification
Q-SM11-GTAW-P1P1-ALL,GTAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER70S-2|ER70S-6,False,NA,Production|Maintenance,Full range,False,Active,Wrong process for SM-11
Q-SM11-SMAW-P1P1-ALL-PWHT,SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|4G|5G|6G,5.0,38.0,With|Without,Vertical Uphill,E-7018|E7018-1,True,595-675,Production|Maintenance|Pressure-retaining,Full range,True,Active,PWHT-capable carbon steel SMAW
Q-SM88-SMAW-P8P8-ALL,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,200.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Full range,False,Active,Stainless SMAW
Q-GT11-GTAW-P1P1-ALL,GTAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER70S-2|ER70S-6,False,NA,Production|Maintenance,Full range,False,Active,GTAW P1-P1
Q-GT11-GTAW-P1P1-NO-BACKING-GAS,GTAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|5G,1.5,19.0,Without,Vertical Uphill,ER70S-2|ER70S-6,False,NA,Maintenance,Limited backing,False,Active,Cannot satisfy backing gas jobs if required
Q-GTSM11-DUAL-P1P1-ALL,GTAW+SMAW,P-No. 1 Group 1/2,P-No. 1 Group 1/2,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER70S-2|E-7018,False,NA,Production|Maintenance,Full range,False,Active,Dual process qualification
Q-SYN-011,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,All,5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER308L,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-012,SMAW,P-No. 1 Group 1/2,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,8.0,With|Without,Vertical Uphill,E309L-16,False,NA,Production|Maintenance,Full range,False,Active,Synthetic support ticket
Q-SYN-013,SMAW,P-No. 1 Group 1/2,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,19.0,With|Without,Vertical Uphill,E309L-16,False,NA,Production|Maintenance,Full range,False,Active,Synthetic support ticket
Q-SYN-014,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,Restricted,1G|2G,1.5,12.0,With|Without,Vertical Uphill,ER90S-B3|E9018-B3,True,595-675,Production|Maintenance,Limited,True,Active,Synthetic support ticket
Q-SYN-015,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,Restricted,2G|3G|4G,1.5,19.0,With|Without,Vertical Uphill,ER309L,False,NA,Production|Maintenance,Limited,False,Inactive,Synthetic support ticket
Q-SYN-016,SMAW,P-No. 1 Group 1/2,P-No. 8 Group 1,All,5G|6G,1.5,8.0,With|Without,Vertical Uphill,E309L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-017,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,3G|4G,1.5,38.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-018,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,Restricted,2G|3G|4G,1.5,19.0,With|Without,Vertical Uphill,ER309L,False,NA,Production|Maintenance,Limited,False,Inactive,Synthetic support ticket
Q-SYN-019,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,38.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Full range,False,Active,Synthetic support ticket
Q-SYN-020,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,Restricted,3G|4G,1.5,8.0,With|Without,Vertical Uphill,ER309L,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-021,GTAW,P-No. 1 Group 1/2,P-No. 8 Group 1,All,5G|6G,1.5,19.0,With|Without,Vertical Uphill,ER309L,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-022,GTAW+SMAW,P-No. 5A Group 1,P-No. 5A Group 1,Restricted,1G|2G,1.5,19.0,With|Without,Vertical Uphill,ER90S-B3|E9018-B3,True,595-675,Production|Maintenance,Limited,True,Inactive,Synthetic support ticket
Q-SYN-023,SMAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,3G|4G,1.5,12.0,With|Without,Vertical Uphill,E308L-16,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-024,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,All,1G|2G|3G|4G|5G|6G,1.5,12.0,With|Without,Vertical Uphill,ER308L,False,NA,Production|Maintenance,Full range,False,Active,Synthetic support ticket
Q-SYN-025,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,1G|2G,1.5,19.0,With|Without,Vertical Uphill,ER308L,False,NA,Production|Maintenance,Limited,False,Active,Synthetic support ticket
Q-SYN-026,GTAW,P-No. 8 Group 1,P-No. 8 Group 1,Restricted,1G|1F,1.5,8.0,With|Without,Vertical Uphill,ER308L,False,NA,Production|Maintenance,Limited,False,Inactive,Synthetic support ticket
